date,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,OT
2019/3/7,0.477711,4.765995,3.395217,0.201416,5.137647,3.472804,17.249375
2019/3/8,0.482211,4.803525,3.13217,0.207071,4.739604,3.123887,16.281397
2019/3/9,0.433103,4.131705,2.917943,0.209577,4.415436,2.866118,14.764305
2019/3/10,0.438708,3.145042,2.420864,0.209405,3.663255,2.66144,12.329309
2019/3/11,0.45995,4.223464,2.498829,0.207126,3.781232,2.649572,13.613047
2019/3/12,0.473091,4.677564,2.777047,0.20012,4.202233,2.683437,14.813372
2019/3/13,0.461316,4.731653,2.547339,0.190004,3.854638,2.539982,14.134928
2019/3/14,0.462001,4.776473,2.405796,0.202028,3.640454,2.206497,13.491222
2019/3/15,0.495112,4.831154,2.331541,0.209579,3.528091,2.272009,13.457907
2019/3/16,0.444625,3.965629,2.483673,0.21309,3.758298,2.630279,13.282504
2019/3/17,0.427217,3.335072,2.497134,0.212479,3.778667,2.786797,12.824887
2019/3/18,0.456006,4.290229,2.532113,0.205796,3.831597,2.732014,13.841959
2019/3/19,0.475841,4.641538,2.784514,0.200315,4.213531,2.667269,14.782693
2019/3/20,0.478663,4.532163,2.652793,0.194253,4.014211,2.578067,14.255898
2019/3/21,0.487176,4.810153,2.651027,0.206151,4.011538,2.495918,14.455812
2019/3/22,0.487048,4.798677,2.63978,0.2113,3.99452,2.509558,14.429584
2019/3/23,0.444535,3.976381,2.420817,0.213144,3.663184,2.548753,13.053669
2019/3/24,0.425904,2.987079,2.222366,0.212423,3.362888,2.336328,11.334566
2019/3/25,0.448317,4.31351,2.227429,0.216417,3.37055,2.247339,12.607145
2019/3/26,0.472088,4.7089,2.613826,0.195897,3.955246,2.527133,14.277194
2019/3/27,0.48142,4.766393,2.54193,0.191539,3.846453,2.461376,14.097572
2019/3/28,0.495131,4.772588,2.311487,0.206838,3.497746,2.195357,13.272309
2019/3/29,0.493628,4.780393,2.290092,0.207868,3.465372,2.080799,13.110284
2019/3/30,0.442492,4.075999,2.285051,0.216409,3.457744,2.061519,12.322804
2019/3/31,0.426746,3.047751,2.055844,0.211976,3.110906,2.4623,11.103547
2019/4/1,0.451181,4.372444,2.864851,0.219273,3.610183,2.625936,13.924595
2019/4/2,0.480033,4.850334,3.174164,0.210054,3.999968,2.402626,14.907126
2019/4/3,0.472934,4.981216,3.077659,0.208967,3.878357,2.131555,14.54172
2019/4/4,0.485112,5.03196,2.838585,0.213967,3.577084,1.993053,13.925794
2019/4/5,0.490976,5.076114,3.014153,0.219418,3.798328,2.072206,14.451777
2019/4/6,0.429333,4.379599,2.945624,0.222143,3.711971,1.854792,13.321319
2019/4/7,0.409918,3.271611,2.600245,0.219723,3.276736,1.61756,11.17607
2019/4/8,0.454034,4.398616,2.553198,0.218915,3.217449,1.470228,12.093525
2019/4/9,0.47677,4.963751,3.016742,0.208671,3.801591,1.602866,13.86172
2019/4/10,0.509019,5.029799,2.81233,0.259686,3.543998,1.899367,13.794513
2019/4/11,0.332265,5.054844,2.652637,0.139274,3.342758,2.019294,13.401798
2019/4/12,0.49159,4.922746,2.740103,0.217525,3.45298,1.909136,13.516556
2019/4/13,0.42605,4.616985,2.761446,0.222584,3.479876,1.802501,13.086859
2019/4/14,0.386545,3.282697,2.588655,0.221687,3.262131,1.891933,11.411961
2019/4/15,0.449877,4.278561,2.558907,0.21851,3.224643,1.95201,12.463998
2019/4/16,0.484827,4.939209,2.669104,0.209284,3.36351,1.872574,13.329225
2019/4/17,0.484188,5.020587,2.664171,0.204022,3.357293,1.667083,13.193322
2019/4/18,0.483196,5.067768,2.641144,0.218041,3.328275,1.570145,13.090529
2019/4/19,0.466802,5.078512,2.621586,0.218682,3.303629,1.619634,13.090163
2019/4/20,0.422537,4.346142,2.595917,0.217147,3.271283,1.735261,12.37114
2019/4/21,0.394522,3.110752,2.197968,0.222416,2.769801,1.713866,10.186908
2019/4/22,0.459904,4.192358,2.035998,0.216734,2.565692,1.57136,10.825312
2019/4/23,0.482327,4.948442,2.624458,0.212507,3.307248,1.462212,12.824687
2019/4/24,0.472967,5.041833,2.862105,0.201262,3.606723,1.536888,13.520516
2019/4/25,0.496281,5.064373,2.985363,0.214704,3.762048,1.539127,13.847192
2019/4/26,0.478711,5.124646,2.849368,0.21757,3.590672,1.566305,13.609701
2019/4/27,0.431684,4.424875,2.644059,0.218822,3.331949,1.76952,12.602087
2019/4/28,0.416951,3.286237,2.366349,0.225695,2.981988,1.851986,10.903512
2019/4/29,0.45617,4.304532,2.458643,0.217552,3.098294,1.865791,12.183429
2019/4/30,0.470028,4.986426,2.947019,0.209112,3.713728,1.782324,13.899525
2019/5/1,0.477949,4.891044,2.639738,0.207398,3.881626,1.610946,13.501302
2019/5/2,0.477983,4.922441,2.695626,0.216558,3.963808,1.532281,13.592138
2019/5/3,0.487628,4.971553,2.679619,0.216858,3.94027,1.538509,13.617578
2019/5/4,0.429397,4.324125,2.680073,0.217983,3.940937,1.472686,12.847219
2019/5/5,0.407704,3.20586,2.451213,0.222852,3.604408,1.436388,11.105572
2019/5/6,0.455965,4.17313,2.24288,0.222937,3.298064,1.400519,11.570558
2019/5/7,0.477341,4.813173,2.532665,0.21311,3.72418,1.44965,12.997009
2019/5/8,0.467432,4.893658,2.5698,0.205931,3.778785,1.459929,13.169604
2019/5/9,0.494755,4.911203,2.510897,0.219026,3.692171,1.476521,13.085546
2019/5/10,0.489765,4.962015,2.549667,0.21959,3.749181,1.539782,13.290411
2019/5/11,0.424321,4.321305,2.619165,0.223194,3.851375,1.522877,12.739042
2019/5/12,0.388904,3.224976,2.291328,0.221913,3.369303,1.626073,10.900584
2019/5/13,0.447058,4.17105,2.269396,0.220981,3.337053,1.6532,11.877757
2019/5/14,0.495105,4.823371,2.527908,0.217707,3.717185,1.590294,13.153863
2019/5/15,0.49042,4.901185,2.559738,0.213417,3.76399,1.425925,13.141258
2019/5/16,0.51014,4.930418,2.569438,0.225686,3.778253,1.294116,13.082366
2019/5/17,0.515103,4.954727,2.507411,0.227259,3.687045,1.346104,13.010391
2019/5/18,0.43692,4.350638,2.484354,0.229868,3.65314,1.385224,12.310277
2019/5/19,0.430648,3.260942,2.419305,0.228558,3.557489,1.371839,11.040223
2019/5/20,0.481072,4.210399,2.470891,0.228868,3.633343,1.446035,12.24174
2019/5/21,0.500307,4.830279,2.727627,0.218891,4.010863,1.533182,13.602257
2019/5/22,0.507909,4.884913,2.53744,0.214211,3.731202,1.418174,13.079638
2019/5/23,0.507024,4.920424,2.712908,0.229217,3.98922,1.317388,13.446965
2019/5/24,0.523726,4.958533,2.874364,0.228854,4.226635,1.295641,13.878898
2019/5/25,0.453763,4.239096,2.845978,0.228773,4.184894,1.24726,12.97099
2019/5/26,0.380418,3.09052,2.649478,0.226218,3.895949,1.254016,11.270382
2019/5/27,0.424067,3.604101,2.650896,0.223029,3.898033,1.305104,11.882201
2019/5/28,0.464801,4.685975,2.620174,0.223503,3.852859,1.310608,12.934416
2019/5/29,0.481073,4.882289,3.095067,0.212131,4.551169,1.289725,14.299321
2019/5/30,0.514213,4.912876,3.16285,0.227015,4.650841,1.228612,14.469391
2019/5/31,0.52347,4.967717,3.187222,0.23383,4.686678,1.161395,14.526481
2019/6/1,0.45353,4.644336,2.814898,0.23209,4.594356,1.183265,13.690384
2019/6/2,0.425851,3.450623,2.546923,0.23045,4.156978,1.229088,11.809463
2019/6/3,0.48013,4.484373,2.546118,0.227727,4.155665,1.293371,12.959656
2019/6/4,0.505972,5.171525,2.674754,0.22236,4.365619,1.260363,13.978232
2019/6/5,0.498147,5.250552,2.710909,0.217763,4.424631,1.145571,14.02981
2019/6/6,0.52229,5.259841,2.993325,0.232472,4.885577,1.177288,14.838322
2019/6/7,0.527003,5.161921,2.977175,0.235772,4.859218,1.19473,14.720047
2019/6/8,0.46647,4.644336,2.759363,0.236433,4.503715,1.197194,13.571078
2019/6/9,0.441181,3.450623,2.382746,0.234079,3.889017,1.191639,11.355207
2019/6/10,0.474281,4.484373,2.307933,0.233576,3.76691,1.165304,12.198801
2019/6/11,0.521571,5.171525,2.711998,0.22731,4.426408,1.144065,13.975568
2019/6/12,0.523857,5.250552,2.662299,0.223483,4.345291,1.155733,13.937733
2019/6/13,0.53568,5.259841,2.532844,0.235074,4.133999,1.251151,13.713515
2019/6/14,0.533968,5.161921,2.406428,0.234872,3.92767,1.212806,13.242793
2019/6/15,0.47775,4.644336,2.228002,0.236151,3.63645,1.143668,12.130205
2019/6/16,0.451913,3.450623,2.371841,0.241492,3.871218,1.178776,11.324371
2019/6/17,0.49186,4.484373,2.526694,0.237638,4.123963,1.170811,12.797702
2019/6/18,0.517908,5.171525,2.993794,0.239095,4.886343,1.146764,14.716334
2019/6/19,0.52225,5.250552,3.053432,0.226638,4.983682,1.147751,14.957667
2019/6/20,0.526393,5.259841,3.087897,0.239465,5.039934,1.18154,15.095606
2019/6/21,0.542865,5.161921,2.948983,0.239724,4.813204,1.20264,14.669614
2019/6/22,0.477042,4.644336,2.727318,0.241502,4.451412,1.185559,13.485667
2019/6/23,0.461078,3.450623,2.523674,0.240035,4.119033,1.164351,11.71876
2019/6/24,0.488101,4.484373,2.631294,0.234292,4.294686,1.141227,13.039681
2019/6/25,0.517667,5.171525,2.952748,0.232413,4.819349,1.125087,14.586375
2019/6/26,0.514806,5.250552,3.085041,0.219591,5.035272,1.119711,15.005382
2019/6/27,0.523191,5.259841,3.213851,0.233343,5.245511,1.134858,15.377252
2019/6/28,0.518118,5.161921,3.281691,0.236216,5.356235,1.129218,15.447183
2019/6/29,0.461367,4.644336,3.335536,0.237849,5.44412,1.114735,15.000094
2019/6/30,0.444003,3.450623,3.236405,0.236383,5.282321,1.10775,13.521102
2019/7/1,0.46001,4.222098,2.323694,0.231396,5.060177,1.09337,13.159349
2019/7/2,0.476509,4.869061,2.557612,0.230395,5.569567,1.127749,14.600497
2019/7/3,0.487605,4.943466,2.649858,0.224012,5.770445,1.153372,15.004745
2019/7/4,0.424786,4.952212,2.521979,0.236358,5.49197,1.123089,14.514036
2019/7/5,0.400612,4.860019,2.33223,0.232431,5.078765,1.115879,13.787504
2019/7/6,0.43407,4.372705,2.479485,0.234804,5.399433,1.116265,13.801958
2019/7/7,0.45605,3.248809,2.418915,0.238886,5.267534,1.139502,12.53081
2019/7/8,0.492942,4.222098,2.362076,0.24184,5.143759,1.133804,13.35468
2019/7/9,0.527093,4.869061,2.468774,0.23341,5.376108,1.110635,14.35167
2019/7/10,0.519542,4.943466,2.613102,0.226796,5.690404,1.084922,14.851435
2019/7/11,0.508505,4.952212,2.741138,0.237083,5.969221,1.077944,15.249019
2019/7/12,0.524861,4.860019,2.738046,0.23618,5.962486,1.077153,15.162565
2019/7/13,0.480699,4.372705,2.696106,0.236912,5.871156,1.074976,14.495641
2019/7/14,0.45918,3.248809,2.568451,0.240522,5.593171,1.075205,12.944815
2019/7/15,0.490459,4.222098,2.562061,0.241457,5.579255,1.076631,13.930504
2019/7/16,0.523433,4.869061,2.764415,0.234087,6.01991,1.08101,15.257828
2019/7/17,0.520768,4.943466,2.827169,0.223626,6.156566,1.083806,15.531774
2019/7/18,0.517761,4.952212,2.799466,0.241886,6.096239,1.097293,15.462971
2019/7/19,0.535155,4.860019,2.711748,0.24123,5.905221,1.116917,15.12906
2019/7/20,0.47644,4.372705,2.807607,0.239204,6.113966,1.103324,14.874042
2019/7/21,0.460193,3.248809,2.637692,0.240229,5.743953,1.079271,13.169919
2019/7/22,0.485808,4.222098,2.649457,0.240034,5.769572,1.071458,14.198393
2019/7/23,0.515322,4.869061,2.611491,0.231626,5.686896,1.075919,14.758688
2019/7/24,0.532891,4.943466,2.456006,0.228196,5.348306,1.087614,14.368283
2019/7/25,0.536912,4.952212,2.405422,0.240947,5.238151,1.07984,14.212537
2019/7/26,0.531322,4.860019,2.362048,0.235151,5.143699,1.074274,13.971362
2019/7/27,0.479472,4.372705,2.40083,0.240157,5.228151,1.077079,13.558236
2019/7/28,0.46413,3.248809,2.374635,0.247342,5.171107,1.081765,12.340445
2019/7/29,0.483381,4.222098,2.435983,0.24515,5.304701,1.078412,13.524575
2019/7/30,0.514465,4.869061,2.734462,0.227796,5.954684,1.08821,15.160882
2019/7/31,0.518313,4.943466,2.694667,0.227645,5.868023,1.079518,15.103987
2019/8/1,0.517038,5.069066,2.74541,0.239216,5.635565,1.278773,15.245852
2019/8/2,0.513694,4.974698,2.698672,0.234263,5.539624,1.275958,15.002646
2019/8/3,0.470464,4.475885,2.662986,0.243213,5.466371,1.274655,14.350361
2019/8/4,0.457103,3.325469,2.628581,0.238784,5.395747,1.273589,13.080489
2019/8/5,0.481897,4.321724,2.646504,0.234599,5.432538,1.275122,14.157785
2019/8/6,0.504164,4.983953,2.872791,0.225021,5.897042,1.273772,15.531722
2019/8/7,0.497366,5.060114,2.920547,0.225034,5.995071,1.27515,15.748248
2019/8/8,0.512004,5.069066,2.855432,0.232361,5.861409,1.285332,15.583242
2019/8/9,0.522215,4.974698,2.801839,0.231739,5.751397,1.288295,15.338444
2019/8/10,0.473926,4.475885,2.733105,0.232837,5.610306,1.295638,14.588861
2019/8/11,0.446608,3.325469,2.511464,0.234019,5.155338,1.306618,12.745497
2019/8/12,0.484523,4.321724,2.495268,0.23372,5.122092,1.291682,13.715289
2019/8/13,0.497609,4.983953,2.930984,0.227441,6.016496,1.282234,15.711275
2019/8/14,0.502494,5.060114,2.964689,0.223944,6.085684,1.279163,15.892144
2019/8/15,0.512335,5.069066,2.899869,0.240699,5.952625,1.278239,15.712134
2019/8/16,0.519284,4.974698,2.808914,0.233061,5.765921,1.283065,15.351882
2019/8/17,0.46136,4.475885,2.733859,0.236225,5.611853,1.291681,14.574637
2019/8/18,0.438831,3.325469,2.56414,0.237549,5.263468,1.291633,12.883541
2019/8/19,0.472014,4.321724,2.642339,0.235003,5.423989,1.283267,14.143334
2019/8/20,0.490563,4.983953,2.962724,0.231418,6.08165,1.282897,15.801787
2019/8/21,0.494064,5.060114,2.913732,0.21717,5.981083,1.284839,15.733832
2019/8/22,0.510873,5.069066,2.902537,0.232624,5.958103,1.314703,15.755282
2019/8/23,0.505095,4.974698,2.788529,0.22596,5.724075,1.323447,15.315844
2019/8/24,0.460606,4.475885,2.475313,0.230459,5.081131,1.338788,13.831724
2019/8/25,0.427302,3.325469,2.172185,0.234986,4.458893,1.316966,11.700815
2019/8/26,0.463458,4.321724,2.128163,0.233056,4.368528,1.337457,12.619331
2019/8/27,0.486894,4.983953,2.393914,0.222341,4.914041,1.328015,14.106817
2019/8/28,0.492058,5.060114,2.437486,0.219836,5.003483,1.304041,14.297181
2019/8/29,0.507774,5.069066,2.499921,0.229569,5.131643,1.289375,14.49778
2019/8/30,0.513426,4.974698,2.438455,0.229198,5.005472,1.310633,14.242685
2019/8/31,0.441076,4.475885,2.41984,0.226315,4.967259,1.339237,13.643298
2019/9/1,0.348508,3.299904,2.54903,0.231038,4.631705,1.045392,11.874539
2019/9/2,0.406012,4.288501,2.562224,0.222824,4.655679,1.031847,12.944263
2019/9/3,0.404329,4.945639,2.703351,0.216574,4.912112,1.031696,13.997128
2019/9/4,0.441639,5.021214,2.959098,0.205503,5.376817,1.039226,14.837994
2019/9/5,0.478866,5.030098,3.091719,0.225183,5.617796,1.063262,15.281742
2019/9/6,0.474246,4.936455,2.953823,0.222734,5.367232,1.066913,14.798669
2019/9/7,0.422836,4.441477,2.883851,0.222233,5.240089,1.065793,14.054046
2019/9/8,0.40657,3.299904,2.640574,0.227041,4.798045,1.086406,12.231499
2019/9/9,0.458243,4.288501,2.522167,0.220511,4.582894,1.105955,12.95776
2019/9/10,0.474082,4.945639,2.785267,0.207127,5.060958,1.071497,14.337444
2019/9/11,0.473785,5.021214,2.931386,0.211527,5.326463,1.06791,14.820759
2019/9/12,0.494573,5.030098,3.015895,0.220169,5.48002,1.079756,15.100342
2019/9/13,0.503776,4.936455,3.025989,0.223899,5.498361,1.09757,15.06215
2019/9/14,0.435707,4.441477,2.837386,0.221662,5.155661,1.076537,13.946768
2019/9/15,0.411194,3.299904,2.569274,0.222569,4.668489,1.048106,11.996968
2019/9/16,0.462038,4.288501,2.673348,0.225504,4.857596,1.060661,13.342144
2019/9/17,0.47691,4.945639,2.942007,0.217167,5.345763,1.095824,14.806144
2019/9/18,0.474893,5.021214,2.804491,0.209707,5.095889,1.123632,14.52012
2019/9/19,0.483832,5.030098,2.757353,0.219742,5.010237,1.16672,14.448239
2019/9/20,0.491786,4.936455,2.632151,0.214952,4.782739,1.121949,13.96508
2019/9/21,0.436955,4.441477,2.539925,0.225014,4.61516,1.078071,13.111588
2019/9/22,0.417876,3.299904,2.382671,0.226903,4.329423,1.080542,11.510417
2019/9/23,0.460379,4.288501,2.586111,0.224265,4.699083,1.07416,13.108234
2019/9/24,0.480959,4.945639,2.847507,0.216375,5.174052,1.068516,14.516672
2019/9/25,0.478778,5.021214,2.636261,0.21118,4.790207,1.085606,14.012066
2019/9/26,0.494405,5.030098,2.705047,0.223736,4.915195,1.098469,14.243213
2019/9/27,0.490704,4.936455,2.674256,0.218598,4.859246,1.134166,14.094828
2019/9/28,0.427131,4.441477,2.585533,0.221642,4.698032,1.17152,13.323693
2019/9/29,0.41022,3.299904,2.459041,0.227755,4.46819,1.234754,11.872109
2019/9/30,0.460546,4.288501,2.376802,0.222282,4.318759,1.234754,12.679362
2019/10/1,0.47918,4.6466,3.238694,0.212164,4.869882,1.244843,14.479199
2019/10/2,0.473226,4.717606,3.446324,0.203678,5.182085,1.248421,15.067662
2019/10/3,0.494544,4.725952,3.580222,0.22039,5.383422,1.334008,15.518149
2019/10/4,0.49972,4.637971,3.332179,0.215877,5.010451,1.395344,14.875666
2019/10/5,0.43734,4.172922,2.970173,0.213706,4.466117,1.499108,13.545661
2019/10/6,0.419634,3.100375,2.537713,0.219916,3.815846,1.323855,11.197423
2019/10/7,0.459471,4.029196,2.570341,0.217257,3.864908,1.270613,12.19453
2019/10/8,0.480437,4.6466,2.849131,0.203297,4.284112,1.335363,13.595642
2019/10/9,0.475899,4.717606,2.580498,0.202579,3.880181,1.391173,13.045357
2019/10/10,0.487255,4.725952,2.556477,0.213506,3.844061,1.414971,13.028715
2019/10/11,0.497617,4.637971,2.647485,0.216157,3.980907,1.516512,13.280491
2019/10/12,0.448613,4.172922,2.458666,0.210149,3.696987,1.743709,12.520898
2019/10/13,0.414552,3.100375,2.147412,0.217183,3.228968,1.643028,10.534335
2019/10/14,0.470595,4.029196,2.278358,0.219835,3.425866,1.56672,11.770736
2019/10/15,0.483023,4.6466,2.574925,0.210347,3.8718,1.536818,13.113166
2019/10/16,0.484518,4.717606,2.538295,0.207808,3.816722,1.563603,13.120744
2019/10/17,0.497354,4.725952,2.610822,0.213298,3.925777,1.715161,13.475066
2019/10/18,0.507748,4.637971,2.384646,0.218481,3.585687,1.721623,12.837675
2019/10/19,0.448421,4.172922,2.251091,0.217615,3.384866,1.714124,11.971425
2019/10/20,0.413059,3.100375,2.323857,0.220271,3.494281,1.577814,10.909387
2019/10/21,0.464251,4.029196,2.23571,0.215081,3.361738,1.471945,11.56284
2019/10/22,0.489455,4.874242,2.453418,0.212765,3.689096,1.511348,13.01756
2019/10/23,0.492847,4.912918,2.487774,0.199783,3.740756,1.60404,13.238334
2019/10/24,0.502324,4.970844,2.431578,0.215525,3.656256,1.732346,13.293348
2019/10/25,0.500979,4.975618,2.581154,0.217829,3.881168,1.788368,13.727286
2019/10/26,0.443493,4.488585,2.51538,0.219229,3.782266,1.704305,12.93403
2019/10/27,0.409926,3.627561,2.203349,0.218162,3.313079,1.625788,11.179704
2019/10/28,0.449519,4.555122,2.173809,0.20769,3.268661,1.810225,12.257336
2019/10/29,0.456117,4.901928,2.699848,0.197821,4.059641,1.926377,14.043911
2019/10/30,0.452388,5.033383,2.781062,0.189942,4.181759,1.997374,14.445966
2019/10/31,0.447221,5.047233,2.756812,0.198956,4.145296,2.029742,14.426305
2019/11/1,0.451871,5.040487,2.813799,0.201484,4.260455,2.748494,15.315106
2019/11/2,0.424764,4.309043,2.612101,0.206643,3.955058,2.745524,14.04649
2019/11/3,0.381893,3.311629,2.475819,0.207315,3.74871,2.638159,12.55621
2019/11/4,0.461201,4.509677,2.334566,0.208397,3.534835,2.429303,13.269581
2019/11/5,0.469723,4.950079,2.668985,0.197271,4.041188,2.254452,14.384426
2019/11/6,0.473417,5.022782,2.819455,0.190562,4.269019,2.361063,14.945735
2019/11/7,0.488081,5.086514,2.697703,0.194532,4.08467,2.525677,14.882645
2019/11/8,0.502423,5.013922,2.89742,0.200635,4.387069,2.971334,15.772169
2019/11/9,0.448215,4.463367,2.954785,0.203353,4.473926,2.98058,15.320874
2019/11/10,0.406835,3.401026,2.667844,0.208636,4.039461,2.559183,13.074349
2019/11/11,0.442422,4.100905,2.395471,0.200496,3.627052,2.576946,13.142795
2019/11/12,0.473538,4.938969,2.772618,0.193997,4.198101,3.263104,15.646331
2019/11/13,0.484983,4.956142,3.409734,0.190094,5.162777,3.6554,17.669035
2019/11/14,0.499246,5.016395,3.422139,0.202098,5.181561,3.243867,17.363208
2019/11/15,0.50935,5.034856,3.291508,0.206712,4.983769,2.947133,16.766616
2019/11/16,0.444532,4.494753,2.970431,0.208851,4.497616,2.903572,15.310904
2019/11/17,0.404938,3.395459,2.595582,0.211917,3.930047,2.891364,13.21739
2019/11/18,0.459002,4.496076,2.690955,0.203,4.074454,2.650289,14.370777
2019/11/19,0.49029,4.966631,2.907569,0.196281,4.402434,2.530543,15.297467
2019/11/20,0.49042,5.027151,2.774934,0.193187,4.201608,2.528329,15.022442
2019/11/21,0.502239,5.0295,2.545149,0.203895,3.853684,2.577377,14.50795
2019/11/22,0.516726,5.076085,2.579337,0.207346,3.90545,2.629389,14.706987
2019/11/23,0.473061,4.487348,2.694273,0.211498,4.079477,2.906646,14.640806
2019/11/24,0.433177,3.417436,2.471303,0.211463,3.741872,2.792642,12.85643
2019/11/25,0.456635,4.365522,2.403637,0.202764,3.639416,2.685717,13.550926
2019/11/26,0.485457,4.91904,2.486258,0.188062,3.764515,2.628233,14.283503
2019/11/27,0.516311,4.984705,2.399685,0.186181,3.633433,2.567534,14.101669
